"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2023 TM2)","2023-Sep-29 11:52 ± < 00:01","0.04004","0.03990","6.40","6.39","26.2","15 m -   34 m","0"
"(2023 TA)","2023-Sep-30 02:19 ± < 00:01","0.00283","0.00283","3.30","3.00","27.9","6.9 m -   15 m","0"
"(2023 TG1)","2023-Sep-30 02:49 ± < 00:01","0.04330","0.04319","6.26","6.25","25.2","25 m -   55 m","0"
"(2023 SC4)","2023-Sep-30 07:07 ± < 00:01","0.03178","0.03131","8.34","8.32","26.1","16 m -   37 m","0"
"(2023 TE2)","2023-Sep-30 09:02 ± < 00:01","0.03100","0.03083","10.09","10.09","25.0","26 m -   59 m","0"
"(2023 SL8)","2023-Sep-30 09:02 ± < 00:01","0.00518","0.00517","12.57","12.53","24.4","35 m -   78 m","1"
"(2023 SA6)","2023-Sep-30 12:19 ± < 00:01","0.04203","0.04155","9.74","9.73","26.1","16 m -   36 m","0"
"(2009 UG)","2023-Sep-30 13:26 ± < 00:01","0.01570","0.01570","9.00","8.99","23.5","53 m -  120 m","1"
"(2023 TE10)","2023-Sep-30 13:45 ±    07:50","0.00406","0.00391","9.42","9.35","27.5","8.4 m -   19 m","0"
"(2023 SY2)","2023-Oct-01 01:30 ± < 00:01","0.02336","0.02332","9.91","9.90","26.2","15 m -   35 m","0"
"(2023 TO2)","2023-Oct-01 12:08 ±    00:04","0.01179","0.01174","12.09","12.07","26.6","13 m -   29 m","0"
"(2023 TJ)","2023-Oct-01 18:52 ± < 00:01","0.01198","0.01195","23.21","23.20","25.2","24 m -   54 m","0"
"(2023 TG5)","2023-Oct-02 01:01 ±    00:40","0.04337","0.04283","5.13","5.12","26.7","12 m -   27 m","0"
"(2023 TA5)","2023-Oct-02 04:38 ±    00:08","0.03515","0.03481","6.05","6.03","25.6","20 m -   45 m","0"
"(2023 TF1)","2023-Oct-02 09:45 ± < 00:01","0.02540","0.02530","12.20","12.19","25.2","24 m -   54 m","0"
"(2023 TS)","2023-Oct-02 20:46 ± < 00:01","0.00578","0.00575","17.69","17.66","27.2","9.8 m -   22 m","0"
"(2023 UJ)","2023-Oct-02 20:57 ±    01:21","0.01846","0.01836","6.46","6.43","26.3","15 m -   33 m","0"
"(2023 TB)","2023-Oct-02 21:18 ± < 00:01","0.00657","0.00655","13.28","13.25","26.8","12 m -   26 m","0"
"(2023 TH)","2023-Oct-03 15:59 ± < 00:01","0.01000","0.00999","7.96","7.93","26.9","11 m -   25 m","0"
"349507 (2008 QY)","2023-Oct-03 20:40 ± < 00:01","0.04228","0.04228","20.96","20.96","18.5","530 m -  1.2 km","2"
"(2023 TY)","2023-Oct-03 22:37 ± < 00:01","0.00137","0.00136","13.13","12.98","29.1","3.9 m -  8.8 m","0"
"(2023 TW1)","2023-Oct-04 04:12 ± < 00:01","0.01357","0.01350","19.83","19.82","24.6","31 m -   70 m","1"
"(2023 TA9)","2023-Oct-04 05:05 ±    00:02","0.00777","0.00775","5.79","5.73","26.6","12 m -   28 m","0"
"(2023 TC)","2023-Oct-04 17:42 ± < 00:01","0.00569","0.00569","7.38","7.31","26.5","13 m -   30 m","0"
"(2023 SN6)","2023-Oct-04 22:58 ± < 00:01","0.03226","0.03211","8.50","8.49","25.6","20 m -   44 m","0"
"(2023 RF10)","2023-Oct-05 03:49 ±    00:19","0.04055","0.04019","5.79","5.78","25.6","20 m -   45 m","0"
"(2023 QC8)","2023-Oct-05 04:02 ± < 00:01","0.04037","0.04036","6.32","6.31","24.7","31 m -   69 m","0"
"(2023 TW3)","2023-Oct-05 05:01 ± < 00:01","0.00426","0.00425","9.90","9.84","26.5","13 m -   30 m","0"
"(2023 TD)","2023-Oct-05 05:41 ± < 00:01","0.00627","0.00626","8.00","7.95","27.1","10 m -   23 m","0"
"(2023 TN3)","2023-Oct-05 07:47 ± < 00:01","0.01040","0.01039","3.54","3.46","27.5","8.4 m -   19 m","0"
"(2023 TW9)","2023-Oct-05 18:29 ± < 00:01","0.04770","0.04742","12.67","12.66","24.0","42 m -   94 m","0"
"(2023 TN2)","2023-Oct-05 20:56 ±    00:01","0.02090","0.02080","7.23","7.21","28.1","6.4 m -   14 m","0"
"(2023 TY1)","2023-Oct-05 21:40 ±    00:01","0.04887","0.04845","6.00","5.99","26.4","14 m -   31 m","0"
"(2023 TU)","2023-Oct-06 03:12 ±    00:05","0.01569","0.01566","8.19","8.17","28.0","6.6 m -   15 m","0"
"(2023 TG)","2023-Oct-06 06:40 ± < 00:01","0.00462","0.00461","7.22","7.14","28.2","6.1 m -   14 m","0"
"(2023 TL3)","2023-Oct-06 08:10 ± < 00:01","0.00599","0.00599","16.20","16.17","25.4","22 m -   49 m","1"
"(2023 TO3)","2023-Oct-06 13:43 ± < 00:01","0.00533","0.00532","13.69","13.65","27.8","7.3 m -   16 m","0"
"(2023 TQ)","2023-Oct-06 16:29 ± < 00:01","0.01512","0.01509","13.22","13.21","25.7","19 m -   43 m","0"
"(2023 TY8)","2023-Oct-06 16:30 ±    00:22","0.03779","0.03722","14.27","14.27","26.0","17 m -   38 m","0"
"(2023 US9)","2023-Oct-06 19:13 ±    00:05","0.03390","0.03382","8.75","8.74","23.4","56 m -  120 m","0"
"(2023 TA6)","2023-Oct-06 20:54 ± < 00:01","0.01957","0.01949","9.89","9.88","26.9","11 m -   25 m","0"
"(2022 TD)","2023-Oct-07 00:15 ± < 00:01","0.02277","0.02277","9.40","9.39","27.7","7.6 m -   17 m","0"
"(2023 RR29)","2023-Oct-07 01:16 ± < 00:01","0.02357","0.02355","8.11","8.10","24.8","29 m -   65 m","0"
"(2023 TD32)","2023-Oct-07 04:58 ± < 00:01","0.03272","0.03250","15.30","15.30","25.6","20 m -   45 m","0"
"(2023 TR1)","2023-Oct-07 05:25 ± < 00:01","0.00072","0.00072","19.98","19.79","29.8","2.9 m -  6.4 m","0"
"(2023 TB1)","2023-Oct-07 13:26 ± < 00:01","0.00174","0.00174","9.36","9.19","29.3","3.7 m -  8.2 m","0"
"(2023 TK4)","2023-Oct-07 13:40 ±    00:10","0.00136","0.00135","14.23","14.09","28.7","4.8 m -   11 m","0"
"(2023 UR)","2023-Oct-07 18:14 ± < 00:01","0.04817","0.04811","9.57","9.56","24.4","35 m -   77 m","0"
"(2023 TK)","2023-Oct-07 19:11 ± < 00:01","0.01478","0.01475","4.89","4.86","27.1","10 m -   23 m","0"
"(2023 TJ4)","2023-Oct-07 21:08 ±    00:01","0.00199","0.00198","12.54","12.43","29.3","3.7 m -  8.2 m","0"
"(2023 TD1)","2023-Oct-07 21:28 ± < 00:01","0.00597","0.00594","17.46","17.44","27.1","10 m -   22 m","0"
"(2023 TX)","2023-Oct-07 21:53 ± < 00:01","0.00385","0.00385","7.00","6.90","29.7","3.1 m -  7.0 m","0"
"(2023 UA4)","2023-Oct-08 01:07 ±    00:19","0.03299","0.03238","11.84","11.84","26.3","14 m -   32 m","0"
"(2023 SA1)","2023-Oct-08 08:32 ±    00:02","0.04576","0.04563","5.89","5.88","25.7","19 m -   43 m","0"
"(2023 TL4)","2023-Oct-08 10:14 ± < 00:01","0.03212","0.03212","34.44","34.44","20.0","260 m -  590 m","1"
"(2023 TA1)","2023-Oct-08 12:51 ±    00:06","0.02391","0.02382","8.35","8.34","26.5","13 m -   30 m","0"
"(2018 ER1)","2023-Oct-08 14:03 ±    00:40","0.03208","0.03170","5.29","5.28","25.7","19 m -   43 m","0"
"(2023 TS5)","2023-Oct-08 14:15 ±    00:39","0.02302","0.02259","7.51","7.49","28.0","6.7 m -   15 m","0"
"(2023 TY10)","2023-Oct-08 16:03 ±    00:04","0.00393","0.00389","15.52","15.48","28.7","4.8 m -   11 m","0"
"(2023 TJ8)","2023-Oct-08 16:19 ± < 00:01","0.02668","0.02660","8.07","8.06","27.4","8.8 m -   20 m","0"
"(2023 UK)","2023-Oct-08 17:15 ±    00:11","0.03516","0.03469","12.90","12.90","26.1","16 m -   35 m","0"
"(2023 UF)","2023-Oct-09 00:04 ±    04:30","0.01251","0.01211","10.43","10.41","27.9","7.0 m -   16 m","0"
"(2023 UZ2)","2023-Oct-09 02:35 ±    00:35","0.03307","0.03298","3.77","3.75","26.9","11 m -   25 m","0"
"(2023 TX6)","2023-Oct-09 05:07 ± < 00:01","0.00311","0.00310","8.38","8.28","29.2","3.9 m -  8.8 m","0"
"(2023 TN22)","2023-Oct-09 09:12 ±    00:04","0.04434","0.04358","9.20","9.20","25.5","21 m -   47 m","0"
"(2023 TL)","2023-Oct-09 10:28 ± < 00:01","0.02122","0.02112","13.92","13.91","24.5","33 m -   74 m","0"
"(2023 TY9)","2023-Oct-09 12:38 ± < 00:01","0.01253","0.01250","17.96","17.95","25.0","27 m -   61 m","0"
"(2023 TW)","2023-Oct-09 14:18 ± < 00:01","0.00531","0.00530","7.69","7.63","27.3","9.3 m -   21 m","0"
"(2023 TZ5)","2023-Oct-09 17:02 ± < 00:01","0.01557","0.01554","13.54","13.52","26.6","12 m -   28 m","0"
"(2023 TM15)","2023-Oct-09 18:21 ± < 00:01","0.02031","0.02018","17.07","17.06","26.8","11 m -   26 m","0"
"(2023 TX19)","2023-Oct-09 20:18 ±    00:09","0.01991","0.01961","14.63","14.62","25.5","21 m -   47 m","0"
"(2023 TR)","2023-Oct-09 22:04 ± < 00:01","0.01061","0.01057","7.45","7.42","26.1","16 m -   35 m","0"
"(2023 TZ65)","2023-Oct-10 02:27 ±    00:03","0.00120","0.00120","21.59","21.49","29.6","3.2 m -  7.0 m","0"
"(2023 TO)","2023-Oct-10 04:43 ± < 00:01","0.00970","0.00970","10.67","10.65","26.3","15 m -   33 m","0"
"(2023 TA7)","2023-Oct-10 07:01 ± < 00:01","0.03173","0.03163","10.43","10.42","24.9","28 m -   64 m","0"
"(2023 TM3)","2023-Oct-10 12:57 ± < 00:01","0.00111","0.00111","11.51","11.30","26.9","11 m -   24 m","1"
"(2023 UC2)","2023-Oct-10 16:27 ±    00:02","0.02078","0.02066","16.08","16.07","26.8","12 m -   26 m","0"
"(2023 TG8)","2023-Oct-10 20:22 ± < 00:01","0.00780","0.00779","12.52","12.49","28.1","6.4 m -   14 m","0"
"(2023 TZ4)","2023-Oct-10 23:01 ± < 00:01","0.02756","0.02748","8.68","8.67","25.4","22 m -   50 m","0"
"(2023 TH8)","2023-Oct-10 23:23 ± < 00:01","0.00629","0.00627","29.53","29.52","26.4","14 m -   31 m","0"
"(2023 UD)","2023-Oct-10 23:41 ± < 00:01","0.01290","0.01287","10.00","9.98","27.5","8.5 m -   19 m","0"
"(2023 TF2)","2023-Oct-11 02:03 ± < 00:01","0.02441","0.02416","19.04","19.04","25.4","22 m -   48 m","0"
"(2023 TE)","2023-Oct-11 04:37 ± < 00:01","0.01088","0.01086","5.58","5.54","26.9","11 m -   24 m","0"
"(2023 TP22)","2023-Oct-11 06:05 ± < 00:01","0.04274","0.04257","13.88","13.87","22.8","73 m -  160 m","0"
"(2023 TU9)","2023-Oct-11 06:21 ± < 00:01","0.03307","0.03300","12.40","12.39","23.3","58 m -  130 m","0"
"(2023 UQ1)","2023-Oct-11 07:46 ±    00:03","0.02475","0.02450","8.37","8.36","26.5","14 m -   30 m","0"
"(2023 UM3)","2023-Oct-11 11:06 ±    00:07","0.04083","0.04056","14.23","14.23","25.0","26 m -   59 m","0"
"(2023 UZ8)","2023-Oct-11 12:52 ±    00:04","0.02269","0.02249","5.52","5.50","26.8","12 m -   26 m","0"
"(2022 UX1)","2023-Oct-11 13:53 ±    04:47","0.00801","0.00492","8.58","8.54","28.0","6.7 m -   15 m","0"
"(2023 UY8)","2023-Oct-11 15:01 ±    01:59","0.01217","0.01183","9.43","9.40","26.0","17 m -   38 m","0"
"(2023 RD11)","2023-Oct-11 20:35 ± < 00:01","0.03280","0.03276","9.53","9.52","24.6","31 m -   70 m","0"
"(2023 TF4)","2023-Oct-11 21:52 ± < 00:01","0.01533","0.01529","8.72","8.70","26.8","12 m -   26 m","0"
"(2023 TA16)","2023-Oct-11 22:43 ± < 00:01","0.00505","0.00503","19.57","19.55","28.1","6.3 m -   14 m","0"
"(2023 TZ9)","2023-Oct-12 00:18 ±    00:04","0.02793","0.02777","15.06","15.05","24.9","28 m -   63 m","0"
"(2015 KW120)","2023-Oct-12 02:37 ± < 00:01","0.04658","0.04658","13.03","13.03","26.0","17 m -   38 m","0"
"(2023 TA10)","2023-Oct-12 05:59 ± < 00:01","0.04670","0.04663","9.40","9.39","24.1","39 m -   88 m","0"
"(2023 TP1)","2023-Oct-12 06:37 ± < 00:01","0.03565","0.03521","13.24","13.24","24.7","31 m -   69 m","0"
"(2023 TS16)","2023-Oct-12 12:38 ± < 00:01","0.02386","0.02381","11.17","11.16","26.0","17 m -   38 m","0"
"(2023 TV3)","2023-Oct-12 12:52 ± < 00:01","0.00056","0.00056","14.21","13.87","27.8","7.5 m -   17 m","1"
"(2023 TL8)","2023-Oct-12 13:24 ± < 00:01","0.02361","0.02354","9.84","9.83","25.2","25 m -   55 m","0"
"(2023 UL)","2023-Oct-12 18:45 ± < 00:01","0.01532","0.01528","9.29","9.28","28.1","6.4 m -   14 m","0"
"(2023 TF3)","2023-Oct-12 23:28 ±    00:03","0.02831","0.02815","19.61","19.61","25.6","20 m -   44 m","0"
"(2023 TU15)","2023-Oct-12 23:46 ±    00:02","0.00195","0.00194","12.02","11.90","29.2","3.9 m -  8.8 m","0"
"(2023 TC1)","2023-Oct-13 02:57 ± < 00:01","0.02703","0.02690","8.12","8.11","26.9","11 m -   25 m","0"
"(2023 TB4)","2023-Oct-13 04:06 ± < 00:01","0.01739","0.01730","10.62","10.60","26.9","11 m -   25 m","0"
"(2023 TK12)","2023-Oct-13 05:41 ±    00:03","0.03056","0.03037","17.76","17.75","25.8","19 m -   42 m","0"
"(2023 TE8)","2023-Oct-13 07:55 ± < 00:01","0.04403","0.04351","12.34","12.33","26.1","16 m -   36 m","0"
"(2023 TP15)","2023-Oct-13 14:20 ± < 00:01","0.00746","0.00744","22.92","22.91","26.0","17 m -   38 m","0"
"(2023 TM27)","2023-Oct-13 15:09 ± < 00:01","0.00344","0.00344","12.54","12.48","28.7","4.8 m -   11 m","0"
"(2021 NT14)","2023-Oct-13 17:10 ± < 00:01","0.04764","0.04764","8.58","8.57","20.7","190 m -  430 m","1"
"(2023 TU5)","2023-Oct-13 18:37 ± < 00:01","0.01182","0.01159","8.34","8.31","27.8","7.4 m -   16 m","0"
"(2023 TD4)","2023-Oct-13 22:56 ± < 00:01","0.01444","0.01435","6.42","6.39","27.2","9.6 m -   21 m","0"
"(2023 TJ12)","2023-Oct-14 05:23 ± < 00:01","0.02729","0.02709","10.66","10.65","26.7","12 m -   28 m","0"
"(2023 UE)","2023-Oct-14 05:45 ± < 00:01","0.00501","0.00501","5.22","5.12","28.9","4.5 m - 10.0 m","0"
"(2023 TO4)","2023-Oct-14 06:59 ± < 00:01","0.00476","0.00475","16.79","16.75","27.5","8.3 m -   18 m","0"
"(2023 TD7)","2023-Oct-14 11:11 ± < 00:01","0.00115","0.00114","10.09","9.86","29.2","3.8 m -  8.6 m","0"
"(2023 TQ3)","2023-Oct-14 12:36 ± < 00:01","0.00985","0.00984","11.25","11.23","25.6","20 m -   45 m","0"
"(2023 TO17)","2023-Oct-14 14:35 ± < 00:01","0.00036","0.00036","15.16","14.67","29.7","3.1 m -  6.9 m","0"
"(2023 TD8)","2023-Oct-14 16:14 ± < 00:01","0.01444","0.01439","9.86","9.84","28.1","6.3 m -   14 m","0"
"(2023 UY)","2023-Oct-14 17:43 ±    00:02","0.00104","0.00104","8.03","7.71","30.0","2.7 m -  6.1 m","0"
"(2023 US2)","2023-Oct-15 02:30 ±    00:22","0.02344","0.02302","11.85","11.84","27.0","10 m -   23 m","0"
"(2023 TC7)","2023-Oct-15 03:20 ± < 00:01","0.00445","0.00445","6.80","6.72","26.9","11 m -   25 m","0"
"(2023 TZ6)","2023-Oct-15 04:47 ± < 00:01","0.02839","0.02818","12.51","12.50","26.4","14 m -   31 m","0"
"(2011 GA)","2023-Oct-15 07:09 ± < 00:01","0.01743","0.01743","16.59","16.59","20.7","190 m -  420 m","2"
"(2023 UJ6)","2023-Oct-15 09:43 ±    00:03","0.02361","0.02338","19.24","19.23","27.6","8.1 m -   18 m","0"
"(2023 UY1)","2023-Oct-15 10:06 ±    00:18","0.02768","0.02735","6.16","6.14","27.2","9.8 m -   22 m","0"
"(2023 TD167)","2023-Oct-15 13:11 ± < 00:01","0.00664","0.00662","3.26","3.14","29.4","3.6 m -  7.9 m","0"
"(2023 UX1)","2023-Oct-15 16:34 ±    00:03","0.01679","0.01667","20.73","20.73","26.0","17 m -   37 m","0"
"(2023 UB)","2023-Oct-15 19:08 ± < 00:01","0.00039","0.00039","15.55","15.11","30.1","2.6 m -  5.8 m","0"
"(2023 TZ8)","2023-Oct-15 20:35 ±    00:06","0.02842","0.02815","9.43","9.42","26.7","12 m -   28 m","0"
"(2007 SQ6)","2023-Oct-15 23:26 ± < 00:01","0.04956","0.04956","6.45","6.45","22.2","97 m -  220 m","0"
"(2023 US)","2023-Oct-16 05:14 ± < 00:01","0.02803","0.02787","8.63","8.62","25.8","18 m -   40 m","0"
"(2023 TA4)","2023-Oct-16 08:07 ± < 00:01","0.01869","0.01865","4.15","4.11","27.6","8.1 m -   18 m","0"
"(2023 TR15)","2023-Oct-16 09:35 ±    00:01","0.00881","0.00879","8.78","8.75","28.0","6.6 m -   15 m","0"
"(2023 UR2)","2023-Oct-16 11:17 ± < 00:01","0.00858","0.00856","8.18","8.14","26.4","14 m -   31 m","0"
"(2023 UL9)","2023-Oct-16 13:37 ±    00:05","0.03786","0.03715","13.41","13.41","25.8","18 m -   41 m","0"
"(2019 UZ3)","2023-Oct-16 13:53 ± 7_11:48","0.02456","0.01798","8.31","8.30","27.0","11 m -   24 m","0"
"(2023 TT8)","2023-Oct-16 18:41 ± < 00:01","0.01480","0.01476","7.93","7.91","26.6","13 m -   28 m","0"
"(2023 TN15)","2023-Oct-16 22:45 ±    00:10","0.03171","0.03159","3.86","3.84","27.4","8.8 m -   20 m","0"
"(1998 HH49)","2023-Oct-17 00:33 ± < 00:01","0.00784","0.00784","14.79","14.76","21.4","140 m -  310 m","2"
"(2023 UM10)","2023-Oct-17 07:03 ±    01:34","0.00502","0.00492","10.14","10.09","27.9","7.1 m -   16 m","0"
"(2023 UU1)","2023-Oct-17 11:41 ± < 00:01","0.00352","0.00351","9.14","9.05","27.4","8.6 m -   19 m","0"
"(2023 TF8)","2023-Oct-17 12:40 ± < 00:01","0.01408","0.01398","20.12","20.11","26.9","11 m -   25 m","0"
"(2023 WH3)","2023-Oct-17 13:26 ±    02:22","0.03951","0.03908","12.81","12.81","22.5","83 m -  190 m","1"
"(2023 TT15)","2023-Oct-17 15:20 ± < 00:01","0.01598","0.01593","6.42","6.39","28.1","6.4 m -   14 m","0"
"(2023 TH12)","2023-Oct-17 15:54 ± < 00:01","0.01984","0.01979","8.34","8.33","26.0","17 m -   38 m","0"
"(2023 TT16)","2023-Oct-17 16:34 ± < 00:01","0.00351","0.00350","20.19","20.16","27.9","7.0 m -   16 m","0"
"(2023 UR3)","2023-Oct-17 20:55 ± < 00:01","0.01723","0.01716","8.34","8.33","26.3","15 m -   33 m","0"
"(2023 TT36)","2023-Oct-18 00:01 ±    00:02","0.02993","0.02957","7.13","7.11","26.4","14 m -   31 m","0"
"(2023 UX2)","2023-Oct-18 07:29 ± < 00:01","0.00136","0.00136","18.75","18.64","29.5","3.3 m -  7.5 m","0"
"(2023 UJ1)","2023-Oct-18 07:44 ± < 00:01","0.03427","0.03400","14.69","14.68","26.1","16 m -   36 m","0"
"(2023 UL3)","2023-Oct-18 08:08 ± < 00:01","0.00991","0.00988","13.54","13.52","26.6","12 m -   28 m","0"
"(2023 UH9)","2023-Oct-18 17:12 ±    00:10","0.00070","0.00069","9.41","8.99","30.8","1.8 m -  4.1 m","0"
"(2023 UQ10)","2023-Oct-18 17:20 ±    00:39","0.00980","0.00958","7.37","7.33","27.3","9.2 m -   21 m","0"
"(2023 UF3)","2023-Oct-18 18:32 ±    00:01","0.01110","0.01106","7.16","7.13","27.2","9.5 m -   21 m","0"
"(2023 UP6)","2023-Oct-18 20:08 ± < 00:01","0.03180","0.03153","16.22","16.22","25.6","20 m -   45 m","0"
